Date,Open,High,Low,Close
09/02/2024 09:40,134583,134594,134520,134536
09/02/2024 09:45,134536,134620,134505,134620
09/02/2024 09:50,134620,134641,134573,134620
09/02/2024 09:55,134620,134630,134457,134494
09/02/2024 10:00,134494,134573,134347,134562
09/02/2024 10:05,134557,134683,134515,134594
09/02/2024 10:10,134594,134720,134463,134625
09/02/2024 10:15,134625,134977,134620,134846
09/02/2024 10:20,134846,134867,134641,134762
09/02/2024 10:25,134756,134804,134657,134704
09/02/2024 10:30,134699,135344,134672,135197
09/02/2024 10:35,135197,135234,134971,135113
09/02/2024 10:40,135118,135165,134950,135034
09/02/2024 10:45,135029,135192,134961,135066
09/02/2024 10:50,135061,135155,135024,135092
09/02/2024 10:55,135092,135165,135066,135118
09/02/2024 11:00,135113,135118,134814,134919
09/02/2024 11:05,134914,135092,134887,135034
09/02/2024 11:10,135034,135145,134987,135040
09/02/2024 11:15,135045,135045,134777,134835
09/02/2024 11:20,134830,134851,134562,134594
09/02/2024 11:25,134589,134657,134158,134258
09/02/2024 11:30,134258,134284,134069,134137
09/02/2024 11:35,134132,134263,134033,134200
09/02/2024 11:40,134200,134410,134127,134379
09/02/2024 11:45,134384,134436,134174,134426
09/02/2024 11:50,134426,134762,134421,134704
09/02/2024 11:55,134704,134746,134515,134699
09/02/2024 12:00,134699,134704,134316,134358
09/02/2024 12:05,134358,134568,134337,134347
09/02/2024 12:10,134342,134358,134195,134258
09/02/2024 12:15,134258,134337,134137,134248
09/02/2024 12:20,134248,134394,134227,134305
09/02/2024 12:25,134300,134478,134279,134442
09/02/2024 12:30,134436,134478,134358,134394
09/02/2024 12:35,134394,134415,134179,134269
09/02/2024 12:40,134269,134352,134148,134158
09/02/2024 12:45,134164,134295,134106,134290
09/02/2024 12:50,134284,134290,134164,134227
09/02/2024 12:55,134227,134253,134075,134106
09/02/2024 13:00,134106,134232,134022,134132
09/02/2024 13:05,134132,134284,134101,134258
09/02/2024 13:10,134263,134263,134122,134137
09/02/2024 13:15,134137,134158,134012,134038
09/02/2024 13:20,134038,134132,133985,133991
09/02/2024 13:25,133996,134048,133917,133996
09/02/2024 13:30,134001,134106,133954,133980
09/02/2024 13:35,133975,134006,133896,133933
09/02/2024 13:40,133933,133959,133828,133886
09/02/2024 13:45,133880,134017,133875,133985
09/02/2024 13:50,133980,134075,133917,134054
09/02/2024 13:55,134054,134137,134017,134075
09/02/2024 14:00,134080,134253,134027,134179
09/02/2024 14:05,134179,134232,134132,134200
09/02/2024 14:10,134200,134290,134164,134232
09/02/2024 14:15,134237,134242,134132,134158
09/02/2024 14:20,134164,134242,134148,134185
09/02/2024 14:25,134190,134368,134179,134358
09/02/2024 14:30,134352,134352,134190,134216
09/02/2024 14:35,134211,134305,134158,134258
09/02/2024 14:40,134258,134316,134185,134206
09/02/2024 14:45,134206,134326,134190,134284
09/02/2024 14:50,134284,134421,134279,134384
09/02/2024 14:55,134384,134426,134305,134400
09/02/2024 15:00,134394,134610,134394,134510
09/02/2024 15:05,134510,134573,134389,134552
09/02/2024 15:10,134557,134589,134505,134578
09/02/2024 15:15,134578,134599,134463,134526
09/02/2024 15:20,134526,134625,134520,134573
09/02/2024 15:25,134578,134678,134573,134651
09/02/2024 15:30,134657,134683,134552,134657
09/02/2024 15:35,134651,134657,134484,134526
09/02/2024 15:40,134526,134552,134447,134473
09/02/2024 15:45,134468,134547,134452,134515
09/02/2024 15:50,134515,134630,134489,134620
09/02/2024 15:55,134620,134625,134547,134594
09/02/2024 16:00,134594,134630,134526,134625
09/02/2024 16:05,134620,134646,134557,134573
09/02/2024 16:10,134573,134578,134468,134557
09/02/2024 16:15,134557,134568,134484,134526
09/02/2024 16:20,134531,134751,134526,134730
09/02/2024 16:25,134725,134730,134657,134667
09/02/2024 16:30,134662,134693,134541,134557
09/02/2024 16:35,134552,134630,134536,134610
09/02/2024 16:40,134615,134646,134562,134583
09/02/2024 16:45,134583,134589,134405,134463
09/02/2024 16:50,134457,134526,134415,134463
09/02/2024 16:55,134457,134526,134373,134473
09/02/2024 17:00,134473,134510,134305,134337
09/02/2024 17:05,134337,134352,134274,134347
09/02/2024 17:10,134347,134436,134337,134405
09/02/2024 17:15,134410,134457,134384,134415
09/02/2024 17:20,134410,134452,134384,134410
09/02/2024 17:25,134405,134499,134394,134489
09/02/2024 17:30,134489,134494,134326,134379
09/02/2024 17:35,134379,134389,134227,134237
09/02/2024 17:40,134242,134290,134185,134227
09/02/2024 17:45,134221,134321,134216,134242
09/02/2024 17:50,134242,134290,134206,134269
09/02/2024 17:55,134269,134316,134190,134305
09/02/2024 18:00,134311,134557,134258,134468
09/02/2024 18:05,134463,134489,134242,134295
09/02/2024 18:10,134295,134358,134274,134316
09/02/2024 18:15,134316,134358,134185,134221
09/02/2024 18:20,134216,134337,134190,134337
14/02/2024 13:00,133429,133692,133151,133641
14/02/2024 13:05,133646,133790,133409,133522
14/02/2024 13:10,133522,133672,133388,133491
14/02/2024 13:15,133491,133584,133321,133543
14/02/2024 13:20,133543,133651,133393,133615
14/02/2024 13:25,133620,133687,133368,133455
14/02/2024 13:30,133450,133708,133445,133698
14/02/2024 13:35,133698,133765,133584,133687
14/02/2024 13:40,133687,133692,133481,133594
14/02/2024 13:45,133594,133692,133533,133636
14/02/2024 13:50,133636,133677,133450,133450
14/02/2024 13:55,133450,133527,133362,133409
14/02/2024 14:00,133404,133419,133136,133146
14/02/2024 14:05,133141,133265,133079,133187
14/02/2024 14:10,133192,133311,133048,133151
14/02/2024 14:15,133156,133295,133136,133259
14/02/2024 14:20,133265,133280,133105,133208
14/02/2024 14:25,133208,133228,133063,133172
14/02/2024 14:30,133177,133239,133131,133136
14/02/2024 14:35,133136,133187,133027,133058
14/02/2024 14:40,133053,133131,133033,133043
14/02/2024 14:45,133048,133146,133002,133115
14/02/2024 14:50,133110,133228,133100,133203
14/02/2024 14:55,133198,133254,133115,133115
14/02/2024 15:00,133110,133218,132940,133203
14/02/2024 15:05,133198,133213,133017,133022
14/02/2024 15:10,133027,133094,132873,132893
14/02/2024 15:15,132899,133007,132888,132914
14/02/2024 15:20,132909,133043,132904,132909
14/02/2024 15:25,132914,132986,132852,132940
14/02/2024 15:30,132940,133089,132899,133069
14/02/2024 15:35,133069,133156,133043,133063
14/02/2024 15:40,133058,133105,132945,132960
14/02/2024 15:45,132960,133058,132929,133027
14/02/2024 15:50,133027,133058,132904,132935
14/02/2024 15:55,132929,132945,132754,132924
14/02/2024 16:00,132924,132935,132816,132868
